,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seed,0,0,0,0,0,0,"208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333","208,333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Pre-Sale 1,0,0,0,0,0,0,"333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333","333,333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Pre-Sale 2,0,"185,185","185,185","185,185","185,185","185,185","185,185","185,185","185,185","185,185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Public Sale,"1,312,500","437,500","437,500","437,500","437,500","437,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Founders / Team,0,0,0,0,0,0,"555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556","555,556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Outlier Ventures,0,0,0,0,0,0,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Advisors,0,0,0,0,0,0,"166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667","166,667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Strategic Partners,"3,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Reserve,"3,500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Community,"200,000",0,0,"79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Foundation,"200,000",0,0,"79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167","79,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Incentivisation,"252,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Staking Vesting,"1,256,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250","356,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Liquidity Pool,"2,111,111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,SUM,"11,832,540","1,156,614","1,156,614","1,314,947","1,314,947","1,314,947","2,483,929","2,483,929","2,483,929","2,483,929","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","2,298,743","1,965,410","1,965,410","1,965,410","1,965,410","1,965,410","1,965,410","1,247,817","1,247,817","1,247,817","1,247,817","1,247,817","1,247,817","1,247,817","1,247,817","1,247,817","1,247,817","1,247,817","1,247,817","692,262","692,262","692,262","692,262","692,262","692,262","336,012","336,012","336,012","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679","177,679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Vesting Series / Cumulative Tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Early Backers / Angels,0,0,0,0,0,0,"92,593","185,185","277,778","370,370","462,963","555,556","648,148","740,741","833,333","925,926","1,018,519","1,111,111","1,203,704","1,296,296","1,388,889","1,481,481","1,574,074","1,666,667","1,759,259","1,851,852","1,944,444","2,037,037","2,129,630","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222","2,222,222",
,Seed,0,0,0,0,0,0,"208,333","416,667","625,000","833,333","1,041,667","1,250,000","1,458,333","1,666,667","1,875,000","2,083,333","2,291,667","2,500,000","2,708,333","2,916,667","3,125,000","3,333,333","3,541,667","3,750,000","3,958,333","4,166,667","4,375,000","4,583,333","4,791,667","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000",
,Pre-Sale 1,0,0,0,0,0,0,"333,333","666,667","1,000,000","1,333,333","1,666,667","2,000,000","2,333,333","2,666,667","3,000,000","3,333,333","3,666,667","4,000,000","4,333,333","4,666,667","5,000,000","5,333,333","5,666,667","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000",
,Pre-Sale 2,0,"185,185","370,370","555,556","740,741","925,926","1,111,111","1,296,296","1,481,481","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667",
,Public Sale,"1,312,500","1,750,000","2,187,500","2,625,000","3,062,500","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000",
,Founders / Team,0,0,0,0,0,0,"555,556","1,111,111","1,666,667","2,222,222","2,777,778","3,333,333","3,888,889","4,444,444","5,000,000","5,555,556","6,111,111","6,666,667","7,222,222","7,777,778","8,333,333","8,888,889","9,444,444","10,000,000","10,555,556","11,111,111","11,666,667","12,222,222","12,777,778","13,333,333","13,888,889","14,444,444","15,000,000","15,555,556","16,111,111","16,666,667","17,222,222","17,777,778","18,333,333","18,888,889","19,444,444","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",
,Outlier Ventures,0,0,0,0,0,0,"250,000","500,000","750,000","1,000,000","1,250,000","1,500,000","1,750,000","2,000,000","2,250,000","2,500,000","2,750,000","3,000,000","3,250,000","3,500,000","3,750,000","4,000,000","4,250,000","4,500,000","4,750,000","5,000,000","5,250,000","5,500,000","5,750,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000",
,Advisors,0,0,0,0,0,0,"166,667","333,333","500,000","666,667","833,333","1,000,000","1,166,667","1,333,333","1,500,000","1,666,667","1,833,333","2,000,000","2,166,667","2,333,333","2,500,000","2,666,667","2,833,333","3,000,000","3,166,667","3,333,333","3,500,000","3,666,667","3,833,333","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000",
,Strategic Partners,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",
