Original Name,User-Friendly Name
presale_1_a_tokens_liquidity_mining_rewards,Presale 1 A Tokens Liquidity Mining Rewards
presale_1_a_tokens_transferred,Presale 1 A Tokens Transferred
presale_1_a_tokens_transferred_cum,Presale 1 A Tokens Transferred Cum
presale_1_a_tokens_burned,Presale 1 A Tokens Burned
presale_1_a_tokens_burned_cum,Presale 1 A Tokens Burned Cum
presale_1_a_selling_tokens,Presale 1 A Selling Tokens
presale_1_a_utility_tokens,Presale 1 A Utility Tokens
presale_1_a_holding_tokens,Presale 1 A Holding Tokens
presale_1_a_selling_from_holding_tokens,Presale 1 A Selling From Holding Tokens
presale_1_a_utility_from_holding_tokens,Presale 1 A Utility From Holding Tokens
presale_1_a_holding_from_holding_tokens,Presale 1 A Holding From Holding Tokens
presale_1_a_actions,Presale 1 A Actions
presale_1_a_current_action,Presale 1 A Current Action
presale_2_agents,Presale 2 Agents
presale_2_a_name,Presale 2 A Name
presale_2_a_type,Presale 2 A Type
presale_2_a_usd_funds,Presale 2 A Usd Funds
presale_2_a_tokens,Presale 2 A Tokens
presale_2_a_tokens_vested,Presale 2 A Tokens Vested
presale_2_a_tokens_vested_cum,Presale 2 A Tokens Vested Cum
presale_2_a_tokens_airdropped,Presale 2 A Tokens Airdropped
presale_2_a_tokens_airdropped_cum,Presale 2 A Tokens Airdropped Cum
presale_2_a_tokens_incentivised,Presale 2 A Tokens Incentivised
presale_2_a_tokens_incentivised_cum,Presale 2 A Tokens Incentivised Cum
presale_2_a_tokens_apr_locked,Presale 2 A Tokens Apr Locked
presale_2_a_tokens_apr_locked_cum,Presale 2 A Tokens Apr Locked Cum
presale_2_a_tokens_apr_locked_remove,Presale 2 A Tokens Apr Locked Remove
presale_2_a_tokens_apr_locked_rewards,Presale 2 A Tokens Apr Locked Rewards
presale_2_a_tokens_buyback_locked,Presale 2 A Tokens Buyback Locked
presale_2_a_tokens_buyback_locked_cum,Presale 2 A Tokens Buyback Locked Cum
presale_2_a_tokens_buyback_locked_remove,Presale 2 A Tokens Buyback Locked Remove
presale_2_a_tokens_buyback_locked_rewards,Presale 2 A Tokens Buyback Locked Rewards
presale_2_a_tokens_staking_vesting_locked,Presale 2 A Tokens Staking Vesting Locked
presale_2_a_tokens_staking_vesting_locked_cum,Presale 2 A Tokens Staking Vesting Locked Cum
presale_2_a_tokens_staking_vesting_locked_remove,Presale 2 A Tokens Staking Vesting Locked Remove
presale_2_a_tokens_staking_vesting_locked_rewards,Presale 2 A Tokens Staking Vesting Locked Rewards
presale_2_a_tokens_liquidity_mining,Presale 2 A Tokens Liquidity Mining
presale_2_a_tokens_liquidity_mining_cum,Presale 2 A Tokens Liquidity Mining Cum
presale_2_a_tokens_liquidity_mining_remove,Presale 2 A Tokens Liquidity Mining Remove
presale_2_a_tokens_liquidity_mining_rewards,Presale 2 A Tokens Liquidity Mining Rewards
presale_2_a_tokens_transferred,Presale 2 A Tokens Transferred
presale_2_a_tokens_transferred_cum,Presale 2 A Tokens Transferred Cum
presale_2_a_tokens_burned,Presale 2 A Tokens Burned
presale_2_a_tokens_burned_cum,Presale 2 A Tokens Burned Cum
presale_2_a_selling_tokens,Presale 2 A Selling Tokens
presale_2_a_utility_tokens,Presale 2 A Utility Tokens
presale_2_a_holding_tokens,Presale 2 A Holding Tokens
presale_2_a_selling_from_holding_tokens,Presale 2 A Selling From Holding Tokens
presale_2_a_utility_from_holding_tokens,Presale 2 A Utility From Holding Tokens
presale_2_a_holding_from_holding_tokens,Presale 2 A Holding From Holding Tokens
presale_2_a_actions,Presale 2 A Actions
presale_2_a_current_action,Presale 2 A Current Action
public_sale_agents,Public Sale Agents
public_sale_a_name,Public Sale A Name
public_sale_a_type,Public Sale A Type
public_sale_a_usd_funds,Public Sale A Usd Funds
public_sale_a_tokens,Public Sale A Tokens
public_sale_a_tokens_vested,Public Sale A Tokens Vested
public_sale_a_tokens_vested_cum,Public Sale A Tokens Vested Cum
public_sale_a_tokens_airdropped,Public Sale A Tokens Airdropped
public_sale_a_tokens_airdropped_cum,Public Sale A Tokens Airdropped Cum
public_sale_a_tokens_incentivised,Public Sale A Tokens Incentivised
public_sale_a_tokens_incentivised_cum,Public Sale A Tokens Incentivised Cum
public_sale_a_tokens_apr_locked,Public Sale A Tokens Apr Locked
public_sale_a_tokens_apr_locked_cum,Public Sale A Tokens Apr Locked Cum
public_sale_a_tokens_apr_locked_remove,Public Sale A Tokens Apr Locked Remove
public_sale_a_tokens_apr_locked_rewards,Public Sale A Tokens Apr Locked Rewards
public_sale_a_tokens_buyback_locked,Public Sale A Tokens Buyback Locked
public_sale_a_tokens_buyback_locked_cum,Public Sale A Tokens Buyback Locked Cum
public_sale_a_tokens_buyback_locked_remove,Public Sale A Tokens Buyback Locked Remove
public_sale_a_tokens_buyback_locked_rewards,Public Sale A Tokens Buyback Locked Rewards
public_sale_a_tokens_staking_vesting_locked,Public Sale A Tokens Staking Vesting Locked
public_sale_a_tokens_staking_vesting_locked_cum,Public Sale A Tokens Staking Vesting Locked Cum
public_sale_a_tokens_staking_vesting_locked_remove,Public Sale A Tokens Staking Vesting Locked Remove
public_sale_a_tokens_staking_vesting_locked_rewards,Public Sale A Tokens Staking Vesting Locked Rewards
public_sale_a_tokens_liquidity_mining,Public Sale A Tokens Liquidity Mining
public_sale_a_tokens_liquidity_mining_cum,Public Sale A Tokens Liquidity Mining Cum
public_sale_a_tokens_liquidity_mining_remove,Public Sale A Tokens Liquidity Mining Remove
public_sale_a_tokens_liquidity_mining_rewards,Public Sale A Tokens Liquidity Mining Rewards
public_sale_a_tokens_transferred,Public Sale A Tokens Transferred
public_sale_a_tokens_transferred_cum,Public Sale A Tokens Transferred Cum
public_sale_a_tokens_burned,Public Sale A Tokens Burned
public_sale_a_tokens_burned_cum,Public Sale A Tokens Burned Cum
public_sale_a_selling_tokens,Public Sale A Selling Tokens
public_sale_a_utility_tokens,Public Sale A Utility Tokens
public_sale_a_holding_tokens,Public Sale A Holding Tokens
public_sale_a_selling_from_holding_tokens,Public Sale A Selling From Holding Tokens
