Original Name,User-Friendly Name,Table
team_a_selling_tokens,Team A Selling Tokens,simulation_data
team_a_utility_tokens,Team A Utility Tokens,simulation_data
team_a_holding_tokens,Team A Holding Tokens,simulation_data
team_a_selling_from_holding_tokens,Team A Selling From Holding Tokens,simulation_data
team_a_utility_from_holding_tokens,Team A Utility From Holding Tokens,simulation_data
team_a_holding_from_holding_tokens,Team A Holding From Holding Tokens,simulation_data
team_a_actions,Team A Actions,simulation_data
team_a_current_action,Team A Current Action,simulation_data
ov_agents,Ov Agents,simulation_data
ov_a_name,Ov A Name,simulation_data
ov_a_type,Ov A Type,simulation_data
ov_a_usd_funds,Ov A Usd Funds,simulation_data
ov_a_tokens,Ov A Tokens,simulation_data
ov_a_tokens_vested,Ov A Tokens Vested,simulation_data
ov_a_tokens_vested_cum,Ov A Tokens Vested Cum,simulation_data
ov_a_tokens_airdropped,Ov A Tokens Airdropped,simulation_data
ov_a_tokens_airdropped_cum,Ov A Tokens Airdropped Cum,simulation_data
ov_a_tokens_incentivised,Ov A Tokens Incentivised,simulation_data
ov_a_tokens_incentivised_cum,Ov A Tokens Incentivised Cum,simulation_data
ov_a_tokens_apr_locked,Ov A Tokens Apr Locked,simulation_data
ov_a_tokens_apr_locked_cum,Ov A Tokens Apr Locked Cum,simulation_data
ov_a_tokens_apr_locked_remove,Ov A Tokens Apr Locked Remove,simulation_data
ov_a_tokens_apr_locked_rewards,Ov A Tokens Apr Locked Rewards,simulation_data
ov_a_tokens_buyback_locked,Ov A Tokens Buyback Locked,simulation_data
ov_a_tokens_buyback_locked_cum,Ov A Tokens Buyback Locked Cum,simulation_data
ov_a_tokens_buyback_locked_remove,Ov A Tokens Buyback Locked Remove,simulation_data
ov_a_tokens_buyback_locked_rewards,Ov A Tokens Buyback Locked Rewards,simulation_data
ov_a_tokens_staking_vesting_locked,Ov A Tokens Staking Vesting Locked,simulation_data
ov_a_tokens_staking_vesting_locked_cum,Ov A Tokens Staking Vesting Locked Cum,simulation_data
ov_a_tokens_staking_vesting_locked_remove,Ov A Tokens Staking Vesting Locked Remove,simulation_data
ov_a_tokens_staking_vesting_locked_rewards,Ov A Tokens Staking Vesting Locked Rewards,simulation_data
ov_a_tokens_liquidity_mining,Ov A Tokens Liquidity Mining,simulation_data
ov_a_tokens_liquidity_mining_cum,Ov A Tokens Liquidity Mining Cum,simulation_data
ov_a_tokens_liquidity_mining_remove,Ov A Tokens Liquidity Mining Remove,simulation_data
ov_a_tokens_liquidity_mining_rewards,Ov A Tokens Liquidity Mining Rewards,simulation_data
ov_a_tokens_transferred,Ov A Tokens Transferred,simulation_data
ov_a_tokens_transferred_cum,Ov A Tokens Transferred Cum,simulation_data
ov_a_tokens_burned,Ov A Tokens Burned,simulation_data
ov_a_tokens_burned_cum,Ov A Tokens Burned Cum,simulation_data
ov_a_selling_tokens,Ov A Selling Tokens,simulation_data
ov_a_utility_tokens,Ov A Utility Tokens,simulation_data
ov_a_holding_tokens,Ov A Holding Tokens,simulation_data
ov_a_selling_from_holding_tokens,Ov A Selling From Holding Tokens,simulation_data
ov_a_utility_from_holding_tokens,Ov A Utility From Holding Tokens,simulation_data
ov_a_holding_from_holding_tokens,Ov A Holding From Holding Tokens,simulation_data
ov_a_actions,Ov A Actions,simulation_data
ov_a_current_action,Ov A Current Action,simulation_data
advisor_agents,Advisor Agents,simulation_data
advisor_a_name,Advisor A Name,simulation_data
advisor_a_type,Advisor A Type,simulation_data
advisor_a_usd_funds,Advisor A Usd Funds,simulation_data
